Model Year,Standard Make,Standard Model,Standard Hierarchy Value,Classification Type,Validation Status,Primary Source Organization,Primary Source Document,Primary Source URL,Notes
2016,Aston Martin,Vantage,GT,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,2 Series,M235I,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,3 Series,328D,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,3 Series,330E,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,5 Series,535D,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,5 Series,GT,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,7 Series,740Li,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,7 Series,750Li,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,M4,GTS,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,BMW,i3,REX,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Bentley,Continental,GT,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Chevrolet,Cruze,Limited,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Chevrolet,Express,3500-,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Chevrolet,Impala,Limited,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Chevrolet,Malibu,Limited,Trim,Fully Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Chevrolet,Sonic,RS,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
2016,Chrysler,Town & Country,AND,Trim,Government Verified,EPA,EPA FuelEconomy.gov Vehicle Fuel Economy Dataset,https://www.fueleconomy.gov/feg/epadata/vehicles.csv,
